"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000014373582";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"285,88";"0,00"
"0000000000014373582";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,95";"0,00"
"0000000000014373609";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"285,88";"0,00"
"0000000000014373609";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"181,12";"0,00"
"0000000000014373644";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"467,00";"0,00"
"0000000000014373680";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"467,00";"0,00"
"0000000000014373711";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"467,00";"0,00"
"0000000000014376992";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Sergipe";"Aracaju";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"361,17";"0,00"
"0000000000014376992";"Aéreo";"Brasil";"Sergipe";"Aracaju";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"411,60";"0,00"
"0000000000014377118";"Aéreo";"Brasil";"Minas Gerais";"Belo Horizonte";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"243,03";"0,00"
"0000000000014377118";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Minas Gerais";"Belo Horizonte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"143,80";"0,00"
"0000000000014379939";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,95";"0,00"
"0000000000014379939";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,95";"0,00"
"0000000000014380812";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Portugal";"";"Porto";"Portugal";"";"Porto";"Brasil";"Distrito Federal";"Brasília";"5250,83";"0,00"
"0000000000014381504";"Aéreo";"Haiti";"";"Porto Príncipe";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Haiti";"";"Porto Príncipe";"4407,60";"0,00"
"0000000000014381514";"Aéreo";"Haiti";"";"Porto Príncipe";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Haiti";"";"Porto Príncipe";"4407,60";"0,00"
"0000000000014381521";"Aéreo";"Haiti";"";"Porto Príncipe";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Haiti";"";"Porto Príncipe";"4714,29";"0,00"
"0000000000014381538";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Haiti";"";"Porto Príncipe";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"0,00";"0,00"
"0000000000014381538";"Aéreo";"Haiti";"";"Porto Príncipe";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4654,46";"0,00"
"0000000000014381694";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"138,33";"0,00"
"0000000000014381694";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"140,20";"0,00"
"0000000000014384565";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"164,73";"0,00"
"0000000000014384565";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Paraná";"Curitiba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"162,86";"0,00"
"0000000000014384812";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"552,70";"0,00"
"0000000000014385624";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"125,93";"0,00"
"0000000000014385624";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"106,13";"0,00"
"0000000000014385980";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Santa Catarina";"Florianópolis";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"257,82";"0,00"
"0000000000014385980";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"223,55";"0,00"
"0000000000014387203";"Aéreo";"Brasil";"Minas Gerais";"Belo Horizonte";"Itália";"";"Bologna";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4994,23";"0,00"
"0000000000014387203";"Aéreo";"Reino Unido";"";"Londres";"Brasil";"Minas Gerais";"Belo Horizonte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4994,23";"0,00"
"0000000000014387947";"Aéreo";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"314,39";"0,00"
"0000000000014387947";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"227,93";"0,00"
"0000000000014387947";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"342,14";"0,00"
"0000000000014388821";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Espírito Santo";"Vitória";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"512,82";"0,00"
"0000000000014388821";"Aéreo";"Brasil";"Espírito Santo";"Vitória";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"0,00";"0,00"
"0000000000014388821";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Irã";"";"Teerã";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"0,00";"0,00"
"0000000000014388821";"Aéreo";"Irã";"";"Teerã";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4151,50";"0,00"
"0000000000014389003";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Irã";"";"Teerã";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"0,00";"0,00"
"0000000000014389003";"Aéreo";"Irã";"";"Teerã";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4151,50";"0,00"
"0000000000014389003";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Espírito Santo";"Vitória";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"512,82";"0,00"
"0000000000014389003";"Aéreo";"Brasil";"Espírito Santo";"Vitória";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"0,00";"0,00"
"0000000000014391133";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"204,93";"0,00"
"0000000000014391461";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pará";"Santarém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"513,44";"0,00"
"0000000000014391461";"Aéreo";"Brasil";"Pará";"Santarém";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"507,52";"0,00"
"0000000000014391549";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Santa Catarina";"Florianópolis";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"221,93";"0,00"
"0000000000014391549";"Aéreo";"Brasil";"Santa Catarina";"Florianópolis";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"213,23";"0,00"
"0000000000014392268";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"459,58";"0,00"
"0000000000014392268";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"475,51";"0,00"
"0000000000014392268";"Aéreo";"Brasil";"Ceará";"Fortaleza";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"636,15";"0,00"
"0000000000014392428";"Aéreo";"Brasil";"Pará";"Santarém";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"507,52";"0,00"
"0000000000014392428";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pará";"Santarém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"513,44";"0,00"
"0000000000014392429";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pará";"Santarém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"513,44";"0,00"
"0000000000014392429";"Aéreo";"Brasil";"Pará";"Santarém";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"507,52";"0,00"
"0000000000014392441";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pará";"Santarém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"513,44";"0,00"
"0000000000014392441";"Aéreo";"Brasil";"Pará";"Santarém";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"507,52";"0,00"
"0000000000014395788";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Estados Unidos da América";"";"Nova York";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4581,01";"0,00"
"0000000000014402347";"Aéreo";"Brasil";"Maranhão";"São Luís";"Brasil";"Minas Gerais";"Belo Horizonte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"449,80";"0,00"
"0000000000014402347";"Aéreo";"Brasil";"Minas Gerais";"Belo Horizonte";"Brasil";"Maranhão";"São Luís";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"449,03";"0,00"
"0000000000014406504";"Aéreo";"Chile";"";"Santiago";"Brasil";"Santa Catarina";"Florianópolis";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1103,63";"0,00"
"0000000000014406504";"Aéreo";"Brasil";"Santa Catarina";"Florianópolis";"Chile";"";"Santiago";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"858,13";"0,00"
"0000000000014407155";"Aéreo";"Brasil";"Ceará";"Juazeiro do Norte";"Brasil";"São Paulo";"São José do Rio Preto";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"648,07";"0,00"
"0000000000014407155";"Aéreo";"Brasil";"São Paulo";"São José do Rio Preto";"Brasil";"Ceará";"Juazeiro do Norte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"521,97";"0,00"
"0000000000014407897";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Paraná";"Foz do Iguaçu";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"282,00";"0,00"
"0000000000014407897";"Aéreo";"Brasil";"Paraná";"Foz do Iguaçu";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"275,59";"0,00"
"0000000000014407897";"Aéreo";"Brasil";"Rio Grande do Sul";"Santa Maria";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"246,49";"0,00"
"0000000000014407897";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Rio Grande do Sul";"Santa Maria";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"117,10";"0,00"
"0000000000014409048";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Minas Gerais";"Belo Horizonte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"143,80";"0,00"
"0000000000014409048";"Aéreo";"Brasil";"Minas Gerais";"Belo Horizonte";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"143,03";"0,00"
"0000000000014410624";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"255,88";"0,00"
"0000000000014410624";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"316,05";"0,00"
"0000000000014410657";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"379,98";"0,00"
"0000000000014410657";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"585,61";"0,00"
"0000000000014411040";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"255,88";"0,00"
"0000000000014411040";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"310,23";"0,00"
"0000000000014411722";"Aéreo";"Brasil";"Santa Catarina";"Florianópolis";"Chile";"";"Santiago";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"858,13";"0,00"
"0000000000014411722";"Aéreo";"Chile";"";"Santiago";"Brasil";"Santa Catarina";"Florianópolis";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1103,63";"0,00"
"0000000000014412185";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"170,55";"0,00"
"0000000000014412185";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"167,80";"0,00"
"0000000000014412327";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"141,45";"0,00"
"0000000000014412327";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"177,92";"0,00"
"0000000000014412485";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"264,05";"0,00"
"0000000000014412485";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"264,54";"0,00"
"0000000000014412674";"Aéreo";"Brasil";"Rio Grande do Norte";"Natal";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"613,34";"0,00"
"0000000000014412674";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Rio Grande do Norte";"Natal";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"324,19";"0,00"
"0000000000014412955";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Reino Unido";"";"Londres";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2806,89";"0,00"
"0000000000014412955";"Aéreo";"Reino Unido";"";"Londres";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2806,89";"0,00"
"0000000000014413433";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"Paraná";"Curitiba";"732,19";"0,00"
"0000000000014413554";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"506,07";"0,00"
"0000000000014413554";"Aéreo";"Brasil";"Rio Grande do Sul";"Santa Maria";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"207,69";"0,00"
"0000000000014413554";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"140,80";"0,00"
"0000000000014413554";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Rio Grande do Sul";"Santa Maria";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"117,10";"0,00"
"0000000000014413593";"Aéreo";"Brasil";"Santa Catarina";"Navegantes";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"Santa Catarina";"Navegantes";"737,78";"0,00"
"0000000000014413651";"Aéreo";"Brasil";"São Paulo";"Ribeirão Preto";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"São Paulo";"Ribeirão Preto";"973,76";"0,00"
"0000000000014414509";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"708,80";"0,00"
"0000000000014414509";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"480,86";"0,00"
"0000000000014415843";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"371,24";"0,00"
"0000000000014415843";"Aéreo";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"343,49";"0,00"
"0000000000014415843";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"227,93";"0,00"
"0000000000014415997";"Aéreo";"Brasil";"Mato Grosso";"Cuiabá";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"223,90";"0,00"
"0000000000014415997";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Mato Grosso";"Cuiabá";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"391,68";"0,00"
"0000000000014416002";"Aéreo";"Brasil";"Ceará";"Fortaleza";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"636,15";"0,00"
"0000000000014416002";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"475,51";"0,00"
"0000000000014416002";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"429,61";"0,00"
"0000000000014416251";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"422,65";"0,00"
"0000000000014416251";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"422,65";"0,00"
"0000000000014416753";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Rio Grande do Norte";"Natal";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"367,36";"0,00"
"0000000000014416753";"Aéreo";"Brasil";"Rio Grande do Norte";"Natal";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"359,20";"0,00"
"0000000000014420909";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Haiti";"";"Porto Príncipe";"Haiti";"";"Porto Príncipe";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"4035,34";"0,00"
"0000000000014420966";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Haiti";"";"Porto Príncipe";"Haiti";"";"Porto Príncipe";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"5673,71";"0,00"
"0000000000014421034";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Haiti";"";"Porto Príncipe";"Haiti";"";"Porto Príncipe";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"4271,70";"0,00"
"0000000000014423660";"Aéreo";"Brasil";"Amapá";"Macapá";"Brasil";"Ceará";"Fortaleza";"Brasil";"Ceará";"Fortaleza";"Brasil";"Amapá";"Macapá";"849,56";"0,00"
"0000000000014423959";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"345,53";"0,00"
"0000000000014423959";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"346,02";"0,00"
"0000000000014424346";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"345,53";"0,00"
"0000000000014424346";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"346,02";"0,00"
"0000000000014424359";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"São Paulo";"São Paulo";"239,23";"0,00"
"0000000000014425167";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Estados Unidos da América";"";"Los Angeles";"Estados Unidos da América";"";"Los Angeles";"Brasil";"São Paulo";"São Paulo";"5407,35";"0,00"
"0000000000014426484";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Santa Catarina";"Navegantes";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"235,51";"0,00"
